section_id,n_passages,text_words,text_characters
4.14.2,3,458,2893
4.14.3,2,291,1896
4.14.4,4,586,3560
4.15,17,4046,22806
4.15.1,2,487,2798
4.16,9,2481,13677
4.16.1,3,615,3750
4.17,24,4635,26767
4.17.1,1,271,1659
4.17.2,2,480,2860
4.17.3,1,154,1035
4.17.4,1,188,1062
4.18,20,4058,23882
4.18.1,4,566,3613
4.19,18,3557,21051
4.19.1,1,392,2349
4.19.2,1,217,1364
4.20,8,1523,8807
4.20.1,4,733,4539
4.21,36,7769,44615
4.21.1,2,579,3575
4.22,11,3035,17372
4.22.1,5,1272,7823
4.23,6,1476,8442
4.23.1,6,1282,8004
4.24,1,158,907
4.25,6,1350,7690
4.25.1,1,334,1979
5.1,10,1643,9892
5.2,31,6494,37819
5.2.5,9,1730,10444
5.3,15,3241,17987
5.3.1,9,2315,13819
5.3.2,4,485,2768
5.4,9,1030,5902
5.4.1,7,1752,10501
5.4.2,1,370,2139
5.5,21,4368,25312
5.5.1,5,1332,8316
5.5.2,1,300,1811
5.5.3,7,1742,10739
5.5.4,2,391,2278
5.6,7,1322,7705
5.6.1,6,1030,6447
5.6.2,1,366,2203
5.7,22,4130,24836
5.7.1,8,1702,10223
5.7.2,4,525,3022
5.7.3,9,2186,13487
5.7.4,4,619,3532
5.8,15,3727,22305
5.8.1,9,1882,11078
5.8.2,4,525,2950
5.8.3,9,1660,10163
5.8.4,4,615,3451
5.9,6,1001,5725
5.9.1,4,654,3951
5.10,2,378,2394
5.10.1,1,203,1177
6.1,19,3770,21184
6.1.1,9,1280,7841
6.1.2,1,286,1617
6.2,33,6241,35904
6.2.1,8,1393,8591
6.2.2,1,325,1837
B6.2.2,1,325,1837
6.3,5,1168,6691
6.3.1,4,583,3595
6.3.2,1,162,985
6.4,6,1204,7057
6.4.1,1,305,1873
6.4.2,10,1903,11581
7.1.1,20,4066,22734
7.1.1.1,2,510,3229
7.1.2,11,1850,10451
7.1.2.1,4,719,4514
7.1.3,4,621,3517
7.1.3.1,1,102,689
7.1.4,5,1144,6393
7.1.5,16,3731,22415
7.1.5.1,5,1276,7734
7.2.1,15,2908,16892
7.2.1.1,11,2169,13004
7.2.1.2,1,310,1786
7.2.1.3,11,2589,15475
7.2.1.4,2,399,2260
7.2.1A,13,2555,14525
7.2.1A.1,9,1379,8445
7.2.2,20,4688,27228
7.2.2.1,8,1704,10477
7.2.2.2,8,1695,10504
7.2.2.3,1,269,1588
7.2.3,20,3897,22356
7.2.3.1,6,1417,8672
7.2.3.2,1,272,1534
7.2.5,26,5098,29298
7.2.5.1,16,3905,23743
7.2.5.2,18,4523,27463
7.2.5.3,1,268,1499
7.2.5.4,1,302,1698
7.2.5.5,1,222,1235
7.2.5.6,1,222,1229
7.2.6,16,2913,17083
7.2.6.1,9,1819,11181
7.2.6.2,6,1540,9352
7.2.6.3,1,209,1200
7.3.1.1,7,1803,10798
7.3.1.1.1,2,633,3782
7.3.1.1.2,1,207,1215
7.3.1.2,34,7203,42419
7.3.1.3,21,5178,29464
7.3.1.3.1,6,1404,8442
7.3.1.4,9,2169,12879
7.3.1.4.1,1,319,1828
7.3.1.5,6,1043,6690
7.3.1.5.1,2,414,2523
7.3.1.6,3,792,4813
7.3.1.6.1,1,294,1757
7.3.1.7,5,1258,7575
7.3.1.7.1,1,187,1053
7.3.2,19,4079,23915
7.3.2.1A,12,2004,12386
7.3.2.1,11,1891,11704
7.3.2.3,8,1475,8907
7.3.2.4,1,316,1713
7.3.2.5,9,1427,8674
7.3.2.6,1,254,1401
7.3.2.7A,11,2115,13030
7.3.2.7B,11,1936,12098
7.3.2.7,8,1419,8592
7.3.2.8,2,370,2042
7.3.2.9,2,374,2059
7.3.2.10,8,1351,8230
7.3.2.11,8,1328,8029
7.3.2.12,2,373,2070
7.3.2.13,1,353,1947
7.3.3,14,3104,18214
7.3.3.1,7,1294,7931
7.3.3.2,7,1245,7500
7.3.3.3,1,269,1491
7.3.3A,2,386,2242
B7.3.3A,2,386,2242
7.3.3A.1A,7,1342,8176
7.3.3A.1,7,1356,8260
7.3.4,4,409,2313
7.3.4.1,4,702,4318
7.3.4.2,2,423,2394
7.3.4.3,4,668,4190
7.3.4.4,1,361,2105
7.3.5,11,1875,11086
7.3.5.1A,11,2080,12497
7.3.5.1,13,1931,11706
7.3.5.2,2,369,2043
7.3.6,14,2477,14338
7.3.6.1,8,1364,8007
7.3.6.2,2,359,1994
7.3.6.3,8,1326,7823
7.3.6.4,1,297,1704
7.3.7,7,1490,8796
7.3.7.1,5,679,4135
7.3.7.2,1,173,1014
7.3.7.3,8,1379,8178
7.3.7.4,1,328,1821
7.3.8,6,1198,6899
7.3.8.1,6,1151,6590
7.3.8.2,6,1227,7227
7.3.9,15,2375,14135
7.3.9.1,7,1116,6904
7.3.9.2,9,2259,14043
7.3.9.3,7,1093,6870
7.3.9.4,1,183,1147
7.3.9.5,11,1980,12185
7.3.9.6,1,229,1360
7.3.10,10,1412,8298
7.3.10.1,7,1182,7430
7.3.10.2,1,251,1439
7.3.10.3,8,1368,8502
7.3.10.4,1,355,1948
7.3.10.5,8,1253,7714
7.3.10.6,1,324,1823
7.3.11,6,632,3697
7.3.11.1,5,855,5083
7.3.11.2,1,149,825
7.3.12,4,660,3700
7.3.12.1,9,1967,11530
7.3.12.2,1,150,837
7.3.13,14,3076,17620
7.3.13.1,9,2088,12441
7.3.13.2,2,516,2877
7.3.13.3,9,2071,12326
7.3.13.4,2,515,2864
7.3.13.5,17,4098,24031
7.3.13.6,16,4057,23941
7.3.13.7,3,825,4528
7.3.13.8,16,4007,23606
7.3.13.9,16,3933,23220
7.3.13.10,3,912,5037
7.3.14,11,2279,13203
7.3.14.1,10,2492,15248
7.3.14.2,1,222,1194
7.3.15,5,986,5707
7.3.15.1,10,1999,12066
7.3.15.2,2,401,2117
7.3.15.3,15,3928,23247
7.3.15.4,15,3393,20147
7.3.15.5,3,779,4253
7.3.16,5,1092,6288
7.3.16.1,8,1174,6789
7.3.16.2,1,323,1753
7.3.17,8,1103,6038
7.3.17.1,7,823,4961
7.3.17.2,1,318,1844
7.3.17.3,7,928,5546
7.3.17.4,2,382,2181
7.3.17.5,15,2942,17211
7.3.17.6,12,2764,16249
7.3.17.7,3,645,3691
7.3.17.8,12,2836,16619
7.3.17.9,11,2567,15094
7.3.17.10,3,759,4359
7.3.18,5,1351,7880
7.3.18.1,11,2355,14543
7.3.18.2,2,407,2389
7.3.19,2,403,2175
7.3.19.1,9,1670,10134
7.3.19.2,2,529,2967
7.3.19.3,16,3638,21550
7.3.19.4,4,975,5429
7.3.20,3,776,4298
7.3.20.1,8,1452,8818
7.3.20.2,2,500,2887
7.3.20.3,13,3010,17877
7.3.20.4,4,952,5398
7.3.21,6,1499,8757
7.3.21.1,9,1354,8161
7.3.21.2,2,457,2708
7.3.22,6,1659,9782
7.3.22.1,13,2580,16061
7.3.22.2,2,544,3151
7.3.23,17,3579,20567
7.3.23.1,8,1824,11061
7.3.23.2,1,178,1146
7.3.23.3,6,1843,11197
7.3.23.4,1,179,1162
7.3.23.5,8,1896,11515
7.3.23.6,1,237,1504
7.3.23.7,8,1901,11542
7.3.23.8,1,246,1574
7.3.23.9,4,740,4669
7.3.24,11,1776,10139
7.3.24.1,9,1550,8904
7.3.25,14,3745,21570
7.3.25.1,6,737,4440
7.3.25.2,1,249,1426
7.3.25.3,5,900,5522
7.3.25.4,1,194,1136
7.3.25.5,6,839,5074
7.3.25.6,1,297,1703
7.3.25.7,7,1076,6493
7.3.25.8,1,280,1599
7.3.26,16,3462,20828
7.3.26.1,5,790,4981
7.3.26.2,2,488,2904
7.3.27,8,536,3300
7.3.27.1,5,859,5482
7.3.27.2,2,511,3152
7.3.28,13,2622,15299
7.3.28.1,12,2713,17461
7.3.28.2,4,730,4641
7.3.29,7,895,5414
7.3.29.1,5,818,5165
7.3.29.2,2,448,2696
7.3.30,12,2772,16069
7.3.30.1,12,3287,20877
7.3.30.2,4,621,3938
7.4.1,7,763,4705
7.4.1.1,10,2070,13056
7.4.1.2,2,399,2590
7.4.2,11,1664,9909
7.4.2.1,8,1483,9351
7.4.2.2,1,304,1923
7.4.2.3,8,1511,9344
7.4.2.4,1,257,1691
7.4.2.5,8,1565,9803
7.4.2.6,9,1657,10246
7.4.2.7,11,2544,15826
7.4.2.8,12,2465,15150
7.4.3,6,900,5512
7.4.3.1,5,748,4820
7.4.3.2,1,269,1758
7.4.3.3,5,685,4393
7.4.3.4,1,219,1425
7.4.4,6,660,4075
7.4.4.1,10,2260,14113
7.4.4.2,2,381,2490
7.4.5,9,1515,8947
7.4.5.1,8,1768,10904
7.4.5.2,1,313,1995
7.4.5.3,8,1790,10903
7.4.5.4,1,266,1742
7.4.6,7,997,5950
7.4.6.1,5,1029,6461
B7.4.6.1,5,1029,6461
7.4.6.2,1,273,1767
7.4.6.3,5,932,5847
7.4.6.4,1,223,1445
7.4.7,6,1123,6640
7.4.7.1,7,1695,10534
7.4.7.2,2,361,2273
7.4.7.3,8,1753,10776
7.4.7.4,1,343,2171
7.4.8,14,2882,16912
7.4.8.1,4,609,3848
7.4.8.2,1,182,1073
7.4.8.3,5,765,4906
7.4.8.4,1,239,1440
7.4.9,16,3294,19478
7.4.9.1,6,919,5732
7.4.9.2,2,381,2188
7.4.9.3,8,1085,6649
7.4.9.4,4,472,2613
7.4.9.5,7,830,5260
7.4.9.6,1,288,1662
7.4.9.7,1,288,1699
7.4.9.8,6,834,5121
7.4.9.9,2,375,2141
7.4.10,14,2759,15824
7.4.10.1,7,1421,8442
7.4.10.2,2,370,2107
7.4.11,7,1275,7318
7.4.11.1,7,1581,9566
7.4.11.2,4,449,2504
7.4.12,16,3092,18098
7.4.12.1,11,2817,16698
7.4.12.2,3,578,3258
7.4.13,16,2941,17095
7.4.13.1,11,2679,15861
7.4.13.2,3,579,3287
7.4.14.1,6,1053,6746
7.4.14.2,2,400,2477
7.4.15,7,1282,7476
7.4.15.1,6,1259,7984
7.4.15.2,3,451,2826
7.4.15.3,6,1172,7345
7.4.15.4,2,443,2851
7.4.16,11,1464,7937
7.4.16.1,5,767,4399
7.4.16.2,1,260,1456
7.4.17,11,2163,12275
7.4.17.1,4,596,3759
7.4.17.2,1,162,967
7.4.18,10,1927,10488
7.4.18.1,7,879,5169
7.4.18.2,2,425,2322
7.4.19,10,1769,9796
7.4.19.1,7,844,5205
7.4.19.2,1,255,1459
7.4.20,7,1332,7452
7.4.20.1,4,652,3987
7.4.20.2,1,229,1367
7.4.21,7,1653,9416
7.4.21.1,7,1062,6516
7.4.21.2,2,389,2145
7.4.22,9,1361,8222
7.4.22.1,4,757,4835
7.4.22.2,1,181,1114
7.4.22.3,6,1035,6674
7.4.22.4,1,327,2009
7.5.1,16,3818,21795
7.5.1.1,5,496,3134
7.5.1.2,11,3303,20452
7.5.1.3,1,229,1427
7.5.2,6,1266,6837
7.5.2.1,3,373,2309
7.5.2.2,6,1199,7010
7.5.2.3,1,346,1915
7.5.3,7,1476,8428
7.5.3.1,3,398,2484
7.5.3.2,11,2382,14302
7.5.3.3,3,522,2976
7.5.4,10,2846,16144
7.5.4.1,3,359,2314
7.5.4.2,8,2020,12232
7.5.4.3,3,587,3234
7.5.5,10,2582,14754
7.5.5.1,3,419,2743
7.5.5.2,13,3195,19569
7.5.5.3,3,789,4577
7.5.5.4,3,440,2765
7.5.5.5,11,2530,15239
7.5.5.6,3,823,4565
7.5.5.7,14,3828,23235
7.5.5.8,4,971,5527
7.5.6,10,2250,12820
7.5.6.1,13,3164,19047
7.5.6.2,3,510,3094
7.5.6.3,10,2278,13448
7.5.6.4,3,433,2457
7.5.7,2,567,3300
7.5.7.1,15,3385,20271
7.5.7.2,3,657,3979
7.5.8,1,234,1285
7.5.8.1,5,1031,6014
7.5.9,2,401,2472
7.5.9.1,9,2344,14320
7.5.9.2,3,723,4375
7.5.10,17,3274,18351
7.5.10.1,7,995,5805
7.5.10.2,7,1176,6942
7.5.10.3,1,254,1400
7.5.11,18,3730,21526
7.5.11.1,3,960,5877
7.5.12,25,5582,31013
7.5.12.1,14,3299,20279
7.5.12.2,2,420,2591
7.5.13,8,1384,8089
7.5.13.1,9,2029,12578
7.5.13.2,1,348,2189
7.5.14,16,4016,22400
7.5.14.1,9,1573,9209
7.5.14.2,1,356,2131
7.5.14.3,1,382,2191
7.5.14.4,8,1479,8700
7.5.14.5,1,341,2011
7.5.14.6,1,378,2152
7.5.15,13,2106,11385
7.5.15.1,8,1099,6699
7.5.15.2,1,343,1973
7.5.16,15,3323,18796
7.5.16.1,5,769,4876
7.5.16.2,1,271,1595
7.5.17,5,777,4424
7.5.17.1,5,1197,7260
7.5.17.2,2,375,2209
7.5.18,6,709,4124
7.5.18.1,4,554,3523
7.5.18.2,1,176,984
7.5.19,3,327,1897
7.5.19.1,5,853,5295
7.5.19.2,1,273,1567
7.5.20,2,333,1950
7.5.20.1,6,946,5874
7.5.20.2,1,323,1862
7.5.21,3,382,2295
7.5.21.1,4,653,3967
7.5.21.2,1,282,1652
7.5.22,18,4890,29050
7.5.22.1,5,778,4628
7.5.22.3,4,654,3898
7.5.22.5,4,719,4279
7.5.22.7,4,815,4837
7.5.22.9,4,643,3866
7.5.22.11,12,3270,20377
7.6.1,43,9692,53659
7.6.1.1,7,1654,10430
7.6.1.2,10,1682,10373
7.6.1.3,1,274,1868
7.6.1.4,1,202,1306
7.6.1.5,2,335,2256
7.6.1.6,2,414,2593
7.6.1.7,1,249,1484
7.6.1.8,2,390,2440
7.6.1.9,1,340,2141
7.6.1.10,1,265,1573
7.6.1.11,2,404,2526
7.6.1.12,3,763,4369
7.6.1.13,1,291,1666
7.6.1.14,3,464,2809
7.6.1.15,2,688,4085
7.6.1.16,1,319,1943
7.6.1.17,4,1448,8996
7.6.1.18,3,885,5220
7.6.1.19,1,279,1644
7.6.1.20,1,330,1898
7.6.1.21,1,235,1459
7.6.2,20,3749,21507
7.6.2.1,6,1190,7158
7.6.2.2,1,185,1105
7.6.2.3,2,412,2358
7.6.2.4,10,2496,15380
7.6.2.5,1,321,2138
7.6.2.6,3,503,3187
7.6.3,20,4514,24819
7.6.3.1,6,2053,11818
7.6.3.2,1,276,1615
7.6.3.3,2,562,3241
7.6.3.4,6,1696,9936
7.6.3.5,6,1514,8976
7.6.3.6,1,273,1603
7.7.1,45,9626,56734
7.7.1.1,8,1927,12045
7.7.1.2,2,387,2336
7.7.1.3,5,1239,7842
7.7.1.4,8,1709,10606
7.7.1.5,2,394,2434
7.7.2,5,1004,6072
7.7.2.1,6,669,4242
7.7.2.2,1,330,2110
B7.7.2.2,1,330,2110
7.7.3,6,872,5172
7.7.3.1,9,1651,10037
7.8.1,14,2744,16177
7.8.1.1,4,554,3474
7.8.1.2,1,233,1360
7.8.2,8,915,5380
7.8.2.1,6,767,4830
7.8.2.2,1,341,2025
7.8.3,17,3432,20056
7.8.3.1,4,501,3177
7.8.3.2,1,143,853
7.8.3.3,4,670,4210
7.8.3.4,1,166,984
7.8.3.5,5,1047,6855
7.8.3.6,1,213,1255
7.9,17,4195,24225
7.9.1,8,2175,13051
8.1,28,5595,33355
8.1.1,3,653,3986
8.1.2,10,2379,14462
8.1.3,2,395,2398
8.2,30,6247,36551
8.2.1,7,1828,10978
8.2.2,6,1551,9427
8.2.3,4,994,5946
8.2.4,3,836,5014
8.2.5,4,919,5470
8.2.6,3,508,3043
8.2.7,4,1028,6219
8.2.8,2,506,3065
8.2.9,2,435,2603
8.2.10,1,346,2121
8.3,19,3562,20708
8.3.1,7,1614,9823
8.3.2,1,371,2275
B8.3.2,1,371,2275
8.4,14,3350,19294
8.4.1,9,2031,11999
8.4.2,2,474,2782
8.5,9,1485,9227
8.5.1,2,280,1798
8.5.2,4,831,5519
8.6,8,1408,8796
8.6.1,3,387,2488
8.6.2,5,1017,6825
8.7,31,6908,38982
8.7.1,3,636,3995
8.7.2,3,685,4152
8.8,30,7103,39757
8.9,35,7337,43351
8.9.1,3,727,4367
8.9.2,12,3147,20013
8.10,33,7204,42319
8.10.1,3,726,4387
8.10.2,13,3365,21603
8.11,28,6849,37802
8.11.1,10,2172,13486
8.12,26,5738,33243
8.12.1,9,2409,14802
8.12.2,2,465,2821
8.13,5,512,2883
8.13.1,2,470,2756
8.14,13,2192,12859
8.14.1,9,1886,11310
8.14.2,10,1944,11853
8.14.3,12,2181,13351
8.15,12,2380,14029
9.1.1,22,4224,25784
9.1.1.1,11,2834,18296
9.1.1.2,2,436,2858
9.1.1.3,6,1015,6343
9.1.1.4,2,367,2230
9.1.2,27,5808,35274
9.1.2.1,16,3662,22934
9.1.2.2,4,516,3144
9.1.2.3,11,2226,13661
9.1.2.4,2,442,2534
9.2,8,1644,9415
9.2.1,7,1066,6233
9.2.2,4,468,2517
9.3,3,315,1923
9.3.1,7,1155,6766
9.3.2,4,548,2967
9.4,14,2789,16821
9.4.1,7,885,5416
B9.4.1,7,885,5416
10.1,11,2785,15885
10.2,7,1035,6003
10.2.1,9,2354,13348
11,11,2919,17655
11.1,24,5662,32705
11.2,4,679,4016
11.3,2,402,2342
11.4,6,1191,6968
