passage_id,section_id,text_characters,text_words,footnote_words,title_words
3.6-c3-s3,3.6,445,73,0,5
3.6-c3-s4,3.6,1985,347,0,5
3.6-c3-s5,3.6,300,55,0,5
3.6-c3-s6,3.6,37,6,0,5
3.6-c3-s7,3.6,1867,314,0,5
3.6-c3-s8,3.6,529,90,0,5
3.6-c3-s9,3.6,882,149,0,5
3.6-c3-s10,3.6,1574,289,0,5
3.6-c3-s11,3.6,717,134,0,5
3.6-c3-s12,3.6,1854,318,0,5
3.6-c3-s13,3.6,1981,343,0,5
3.6-c3-s14,3.6,1981,329,0,5
3.6-c3-s15,3.6,1809,313,0,5
3.6-c4-s1,3.6,47,9,0,9
3.6-c4-s2,3.6,2056,355,0,9
3.6-c4-s3,3.6,1922,335,0,9
3.6-c4-s4,3.6,1636,285,0,9
3.6-c5-s1,3.6,1042,173,0,5
3.6.1-c1-s1,3.6.1,1914,330,0,6
3.6.1-c1-s2,3.6.1,956,165,0,6
3.6.2-c1-s1,3.6.2,766,121,0,5
3.7.1-c1-s1,3.7.1,2470,423,0,4
3.7.1-c1-s2,3.7.1,28,5,0,4
3.7.2-c1-s1,3.7.2,1035,181,0,4
3.7.3-c1-s1,3.7.3,1701,288,0,4
3.8.1-c1-s1,3.8.1,1796,307,0,4
3.8.2-c1-s1,3.8.2,2286,400,0,4
3.9-c1-s1,3.9,777,144,51,8
3.9-c1-s2,3.9,1221,215,51,8
3.9-c1-s3,3.9,1472,289,51,8
3.9-c1-s4,3.9,1472,252,51,8
3.9-c1-s5,3.9,29,4,51,8
3.9-c1-s6,3.9,2093,371,51,8
3.9-c1-s7,3.9,1763,326,51,8
3.9-c1-s8,3.9,1354,250,51,8
3.9-c1-s9,3.9,44,9,51,8
3.9-c1-s10,3.9,1521,269,51,8
3.9-c1-s11,3.9,480,90,51,8
3.9-c1-s12,3.9,1839,322,51,8
3.9-c1-s13,3.9,474,91,51,8
3.9-c1-s14,3.9,1512,265,51,8
3.9-c1-s15,3.9,1444,266,51,8
3.9-c1-s16,3.9,34,6,51,8
3.9-c1-s17,3.9,1765,320,51,8
3.9-c1-s18,3.9,1966,337,51,8
3.9-c1-s19,3.9,2081,361,51,8
3.9-c1-s20,3.9,851,152,51,8
3.9-c2-s1,3.9,46,6,0,6
3.9-c2-s2,3.9,2303,381,0,6
3.9-c2-s3,3.9,979,164,0,6
3.9-c3-s1,3.9,18,3,119,3
3.9-c3-s2,3.9,2407,417,119,3
3.9-c3-s3,3.9,227,35,119,3
3.9-c4-s1,3.9,1363,225,0,3
3.9-c5-s1,3.9,404,69,66,6
3.9-c5-s2,3.9,1325,240,66,6
3.9-c5-s3,3.9,1523,274,66,6
3.9-c5-s4,3.9,1106,204,66,6
3.9-c6-s1,3.9,14,2,0,2
3.9-c6-s2,3.9,1763,308,0,2
3.9-c6-s3,3.9,786,149,0,2
3.9-c6-s4,3.9,29,5,0,2
3.9.1-c1-s1,3.9.1,1463,262,0,8
3.10-c1-s1,3.10,758,110,112,3
3.10-c1-s2,3.10,1923,333,112,3
3.10-c1-s3,3.10,469,84,112,3
3.10-c2-s1,3.10,2144,370,251,6
3.10-c2-s2,3.10,808,139,251,6
3.10-c2-s3,3.10,2147,348,251,6
3.10-c2-s4,3.10,1256,232,251,6
3.10-c2-s5,3.10,1356,265,251,6
3.10-c2-s6,3.10,72,12,251,6
3.10-c2-s7,3.10,1742,326,251,6
3.10-c2-s8,3.10,455,84,251,6
3.10-c2-s9,3.10,1999,352,251,6
3.10-c2-s10,3.10,1673,318,251,6
3.10-c2-s11,3.10,859,156,251,6
3.10-c2-s12,3.10,1437,273,251,6
3.10-c2-s13,3.10,1817,312,251,6
3.10-c3-s1,3.10,44,6,0,6
3.10-c3-s2,3.10,1727,307,0,6
3.10-c3-s3,3.10,1822,318,0,6
3.10-c4-s1,3.10,40,5,0,5
3.10-c4-s2,3.10,2097,375,0,5
3.10-c4-s3,3.10,423,77,0,5
3.10-c4-s4,3.10,1171,205,0,5
3.11-c1-s1,3.11,206,37,0,7
3.11-c2-s1,3.11,231,40,0,2
3.11-c3-s1,3.11,701,130,0,4
3.11-c3-s2,3.11,2230,382,0,4
3.11-c3-s3,3.11,463,85,0,4
3.11-c4-s1,3.11,25,4,0,4
3.11-c4-s2,3.11,1426,275,0,4
3.11-c4-s3,3.11,1493,268,0,4
3.11-c4-s4,3.11,2201,377,0,4
3.11-c4-s5,3.11,1486,267,0,4
3.11.1-c1-s1,3.11.1,1587,279,50,6
3.11.2-c1-s1,3.11.2,1616,255,0,8
3.11.3-c1-s1,3.11.3,1873,306,0,9
3.11.4-c1-s1,3.11.4,1851,315,0,6
3.12-c1-s1,3.12,1933,355,0,3
3.12-c1-s2,3.12,1494,257,0,3
3.12.1-c1-s1,3.12.1,821,148,0,6
3.12.2-c1-s1,3.12.2,806,140,0,6
3.12.3-c1-s1,3.12.3,963,161,30,7
3.12.4-c1-s1,3.12.4,999,165,0,8
3.13-c1-s1,3.13,1158,187,0,6
3.13-c2-s1,3.13,2101,363,0,4
3.13-c3-s1,3.13,1492,269,0,4
3.13-c3-s2,3.13,2003,346,0,4
3.13-c3-s3,3.13,1456,250,0,4
3.13-c3-s4,3.13,49,6,0,4
3.13-c3-s5,3.13,2134,374,0,4
3.13-c3-s6,3.13,665,116,0,4
3.13-c3-s7,3.13,27,5,0,4
3.13.1-c1-s1,3.13.1,2362,429,0,5
3.13.2-c1-s1,3.13.2,879,166,43,5
3.14.1-c1-s1,3.14.1,1654,258,4,6
3.14.1-c1-s2,3.14.1,1415,235,4,6
3.14.2-c1-s1,3.14.2,1423,232,0,7
3.15.1-c1-s1,3.15.1,941,171,38,4
3.15.1-c2-s1,3.15.1,504,92,0,2
3.15.1-c3-s1,3.15.1,325,60,0,2
3.16-c1-s1,3.16,1741,310,0,4
3.16-c2-s1,3.16,665,126,23,8
3.16-c3-s1,3.16,966,190,0,8
3.16-c4-s1,3.16,401,73,0,7
3.16-c5-s1,3.16,2175,375,194,11
3.16-c5-s2,3.16,396,71,194,11
3.16-c6-s1,3.16,1986,344,0,5
3.16-c6-s2,3.16,929,160,0,5
3.16-c7-s1,3.16,2339,410,0,7
3.16-c7-s2,3.16,418,61,0,7
3.16-c8-s1,3.16,2012,343,0,9
3.16-c9-s1,3.16,638,100,0,4
3.16-c10-s1,3.16,1739,291,0,3
3.16-c11-s1,3.16,1473,253,0,8
3.16-c12-s1,3.16,1968,346,0,8
3.16-c13-s1,3.16,1369,246,0,7
3.16-c14-s1,3.16,1523,277,50,5
3.16-c15-s1,3.16,1541,243,0,6
3.16-c16-s1,3.16,1800,294,0,7
3.16-c17-s1,3.16,1814,313,0,4
3.16-c18-s1,3.16,785,141,0,5
3.16-c19-s1,3.16,1011,167,30,6
3.16-c20-s1,3.16,1043,170,0,7
3.16-c21-s1,3.16,1765,321,34,3
4.1-c1-s1,4.1,1537,244,0,6
4.1-c2-s1,4.1,1852,325,0,7
4.1-c3-s1,4.1,2062,348,0,4
4.1-c3-s2,4.1,1643,292,0,4
4.1-c4-s1,4.1,623,109,0,9
4.1-c5-s1,4.1,629,111,0,3
4.1-c6-s1,4.1,530,95,0,3
4.1-c6-s2,4.1,2097,362,0,3
4.1-c6-s3,4.1,1760,304,0,3
4.1-c6-s4,4.1,55,9,0,3
4.1-c6-s5,4.1,1776,325,0,3
4.1-c6-s6,4.1,454,82,0,3
4.1-c7-s1,4.1,1696,286,0,3
4.1.1-c1-s1,4.1.1,2032,344,25,5
4.1.2-c1-s1,4.1.2,970,174,0,6
4.2-c1-s1,4.2,923,145,0,3
4.2-c2-s1,4.2,1357,231,0,9
4.2-c2-s2,4.2,1059,153,0,9
4.2-c3-s1,4.2,1803,314,46,5
4.2-c4-s1,4.2,1403,245,143,6
4.2-c4-s2,4.2,1470,256,143,6
4.2-c4-s3,4.2,1202,199,143,6
4.2-c4-s4,4.2,1583,277,143,6
4.2-c4-s5,4.2,498,88,143,6
4.2-c5-s1,4.2,319,47,152,3
4.2.1-c1-s1,4.2.1,2276,360,0,7
4.3-c1-s1,4.3,653,109,0,3
4.3-c2-s1,4.3,777,132,92,5
4.3-c2-s2,4.3,1533,294,92,5
4.3-c2-s3,4.3,1720,295,92,5
4.3-c2-s4,4.3,337,59,92,5
4.3-c2-s5,4.3,1899,334,92,5
4.3-c2-s6,4.3,964,171,92,5
4.3-c2-s7,4.3,54,9,92,5
4.3-c2-s8,4.3,1886,340,92,5
4.3-c2-s9,4.3,1981,350,92,5
4.3-c2-s10,4.3,797,147,92,5
4.3-c3-s1,4.3,2070,347,174,5
4.3-c3-s2,4.3,2013,363,174,5
4.3.1-c1-s1,4.3.1,758,122,93,6
4.3.1-c1-s2,4.3.1,2339,414,93,6
4.3.2-c1-s1,4.3.2,942,156,174,6
4.3.2-c1-s2,4.3.2,1989,354,174,6
4.3.2-c1-s3,4.3.2,576,99,174,6
4.3.3-c1-s1,4.3.3,1225,212,58,5
4.4-c1-s1,4.4,2117,346,0,6
4.4-c2-s1,4.4,1429,263,0,6
4.4-c3-s1,4.4,55,10,0,10
4.4-c3-s2,4.4,1633,306,0,10
4.4-c3-s3,4.4,1323,233,0,10
4.4-c3-s4,4.4,1994,362,0,10
4.4-c4-s1,4.4,2175,371,0,6
4.4-c4-s2,4.4,2002,357,0,6
4.4-c4-s3,4.4,1545,268,0,6
4.4-c4-s4,4.4,579,100,0,6
4.4-c5-s1,4.4,1059,186,0,8
4.4-c5-s2,4.4,1391,248,0,8
4.4-c5-s3,4.4,2203,372,0,8
4.4-c5-s4,4.4,1214,214,0,8
4.4-c5-s5,4.4,2024,359,0,8
4.4.1-c1-s1,4.4.1,979,164,0,5
4.4.2-c1-s1,4.4.2,897,158,0,6
4.5-c1-s1,4.5,475,77,55,4
4.5-c2-s1,4.5,1197,217,35,5
4.5-c3-s1,4.5,494,77,0,4
4.5-c4-s1,4.5,273,49,0,8
4.5-c5-s1,4.5,1454,264,113,4
4.5-c5-s2,4.5,1673,292,113,4
4.5-c5-s3,4.5,1653,299,113,4
4.5-c5-s4,4.5,297,53,113,4
4.5-c5-s5,4.5,33,6,113,4
4.5-c5-s6,4.5,1349,255,113,4
4.5-c5-s7,4.5,1874,326,113,4
4.5-c5-s8,4.5,1401,251,113,4
4.5-c5-s9,4.5,446,85,113,4
4.5-c6-s1,4.5,1249,226,0,3
4.5-c7-s1,4.5,2055,375,160,5
4.5-c7-s2,4.5,1129,208,160,5
4.5-c7-s3,4.5,1238,203,160,5
4.5-c7-s4,4.5,979,181,160,5
4.5-c8-s1,4.5,1337,232,0,6
4.5-c9-s1,4.5,368,68,0,5
4.5.1-c1-s1,4.5.1,1411,225,87,5
4.5.1-c1-s2,4.5.1,1756,297,87,5
4.5.1-c2-s1,4.5.1,1726,269,0,2
4.5.2-c1-s1,4.5.2,1640,280,46,5
4.5.2-c1-s2,4.5.2,1047,175,46,5
4.6-c1-s1,4.6,1879,318,0,8
4.6-c1-s2,4.6,1941,331,0,8
4.6-c2-s1,4.6,594,100,66,10
4.6-c2-s2,4.6,2147,355,66,10
4.6-c3-s1,4.6,20,3,0,3
4.6-c3-s2,4.6,1574,295,0,3
4.6-c3-s3,4.6,1152,218,0,3
4.6-c3-s4,4.6,619,111,0,3
4.6-c3-s5,4.6,1856,329,0,3
4.6-c3-s6,4.6,1266,236,0,3
4.6-c4-s1,4.6,1285,229,45,4
4.6-c4-s2,4.6,1882,323,45,4
4.6-c4-s3,4.6,1416,239,45,4
4.6-c4-s4,4.6,49,6,45,4
4.6-c4-s5,4.6,1996,323,45,4
4.6-c4-s6,4.6,430,68,45,4
4.6-c4-s7,4.6,1211,200,45,4
4.6-c4-s8,4.6,1632,300,45,4
4.6-c4-s9,4.6,2174,372,45,4
4.6-c4-s10,4.6,652,116,45,4
4.6-c5-s1,4.6,569,92,0,4
4.6-c6-s1,4.6,1437,250,0,13
4.6-c6-s2,4.6,1685,283,0,13
4.6-c6-s3,4.6,1217,221,0,13
4.6-c6-s4,4.6,36,7,0,13
4.6-c6-s5,4.6,2079,361,0,13
4.6-c6-s6,4.6,1658,290,0,13
4.6-c6-s7,4.6,1002,180,0,13
4.6-c6-s8,4.6,34,5,0,13
4.6-c6-s9,4.6,2149,348,0,13
4.6-c6-s10,4.6,1690,294,0,13
4.6-c6-s11,4.6,1397,240,0,13
4.6-c6-s12,4.6,1233,211,0,13
4.6-c6-s13,4.6,1182,220,0,13
4.6-c7-s1,4.6,675,124,35,13
4.6-c7-s2,4.6,1238,211,35,13
4.6-c7-s3,4.6,1339,241,35,13
4.6-c8-s1,4.6,604,109,0,13
4.6-c8-s2,4.6,1913,333,0,13
4.6-c8-s3,4.6,1642,306,0,13
4.6-c9-s1,4.6,37,5,0,5
4.6-c9-s2,4.6,1965,363,0,5
4.6-c9-s3,4.6,1129,209,0,5
4.6-c10-s1,4.6,1102,183,0,4
4.6.1-c1-s1,4.6.1,908,145,0,9
4.6.1-c2-s1,4.6.1,1128,202,16,5
4.6.1-c3-s1,4.6.1,1646,265,0,8
4.6.2-c1-s1,4.6.2,2280,353,0,10
4.6.2-c1-s2,4.6.2,222,31,0,10
4.6.3-c1-s1,4.6.3,1535,243,0,10
4.6.4-c1-s1,4.6.4,347,58,0,13
4.6.4-c1-s2,4.6.4,2125,377,0,13
4.7-c1-s1,4.7,1541,242,0,4
4.8-c1-s1,4.8,625,105,0,3
4.8-c2-s1,4.8,1277,215,0,3
4.8-c3-s1,4.8,1886,314,0,5
4.8-c4-s1,4.8,582,101,0,4
4.8.1-c1-s1,4.8.1,533,86,0,5
4.8.1-c2-s1,4.8.1,1616,264,95,7
4.8.1-c3-s1,4.8.1,2356,379,0,8
4.8.1-c3-s2,4.8.1,1951,328,0,8
4.8.1-c3-s3,4.8.1,2187,365,0,8
4.8.1-c3-s4,4.8.1,876,152,0,8
4.8.1-c4-s1,4.8.1,2299,383,21,5
4.8.1-c5-s1,4.8.1,963,169,9,3
4.8.2-c1-s1,4.8.2,986,161,36,6
4.8.2-c2-s1,4.8.2,2152,336,0,3
4.8.3-c1-s1,4.8.3,533,88,67,7
4.8.3-c2-s1,4.8.3,621,106,0,6
4.8.3-c3-s1,4.8.3,623,106,99,5
4.8.3-c3-s2,4.8.3,1449,270,99,5
4.8.3-c3-s3,4.8.3,873,163,99,5
4.8.3-c3-s4,4.8.3,1970,331,99,5
4.8.3-c3-s5,4.8.3,1541,265,99,5
4.8.3-c3-s6,4.8.3,1646,293,99,5
4.8.3-c3-s7,4.8.3,1336,228,99,5
4.8.3-c4-s1,4.8.3,845,136,0,3
4.8.4-c1-s1,4.8.4,612,102,35,8
4.8.4-c2-s1,4.8.4,1179,193,0,7
4.8.4-c3-s1,4.8.4,798,138,0,2
4.8.4-c4-s1,4.8.4,1218,191,0,3
4.8.4-c5-s1,4.8.4,455,79,0,9
4.9-c1-s1,4.9,764,125,0,8
4.9-c2-s1,4.9,1317,241,136,6
4.9-c2-s2,4.9,1957,326,136,6
4.9-c2-s3,4.9,1114,192,136,6
4.9-c2-s4,4.9,1780,311,136,6
4.9-c2-s5,4.9,1062,195,136,6
4.9-c2-s6,4.9,1660,278,136,6
4.9-c2-s7,4.9,1720,299,136,6
4.9-c3-s1,4.9,2188,370,49,5
4.9-c4-s1,4.9,1856,333,0,3
4.9.1-c1-s1,4.9.1,1356,228,35,5
4.9.2-c1-s1,4.9.2,891,149,0,4
4.10-c1-s1,4.10,474,78,0,6
4.10-c2-s1,4.10,1083,190,0,9
4.10-c3-s1,4.10,878,150,0,10
4.10-c3-s2,4.10,1866,335,0,10
4.10-c3-s3,4.10,1489,267,0,10
4.10-c3-s4,4.10,1999,348,0,10
4.10-c3-s5,4.10,1757,300,0,10
4.10-c4-s1,4.10,1563,278,55,14
4.10-c5-s1,4.10,1325,226,0,12
4.10-c6-s1,4.10,1042,182,0,14
4.10-c7-s1,4.10,1674,286,0,6
4.10-c7-s2,4.10,523,97,0,6
4.10-c8-s1,4.10,1967,335,0,11
4.10.1-c1-s1,4.10.1,1871,333,0,5
4.11-c1-s1,4.11,375,63,0,8
4.11-c2-s1,4.11,30,7,0,7
4.11-c2-s2,4.11,1898,347,0,7
4.11-c2-s3,4.11,522,90,0,7
4.11-c3-s1,4.11,469,78,0,7
4.11-c4-s1,4.11,592,102,0,8
4.11-c5-s1,4.11,863,156,0,5
4.11-c6-s1,4.11,210,34,0,6
4.11-c6-s2,4.11,1806,336,0,6
4.11-c6-s3,4.11,1251,224,0,6
4.11-c6-s4,4.11,26,3,0,6
4.11-c6-s5,4.11,2141,350,0,6
4.11-c6-s6,4.11,491,78,0,6
4.11-c7-s1,4.11,1825,284,0,7
4.11-c8-s1,4.11,1857,334,201,6
